epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.9477,1.31409,2.21412,1.3851,0.74389,0.21045,0.33939,0.13364,1.99199,2.64844,1.89306,0.000470524,0.000470524,0.000470524
2,45.8836,1.26524,1.64331,1.3572,0.53135,0.38634,0.40728,0.16833,2.10977,2.44187,2.10381,0.00092811,0.00092811,0.00092811
3,69.0824,1.24886,1.5641,1.35129,0.46209,0.39202,0.34369,0.14541,2.05918,2.49556,1.95383,0.00136683,0.00136683,0.00136683
4,93.2032,1.24368,1.51513,1.34207,0.55309,0.38634,0.40569,0.17846,2.16379,2.15653,1.95171,0.00134412,0.00134412,0.00134412
5,117.349,1.22073,1.45265,1.325,0.6585,0.43134,0.46398,0.20888,2.0727,1.84156,2.02832,0.00131582,0.00131582,0.00131582
6,142.039,1.18372,1.40199,1.31764,0.64981,0.47829,0.51255,0.24331,1.86557,1.77034,1.76827,0.00128753,0.00128753,0.00128753
7,166.597,1.17006,1.34798,1.30329,0.6913,0.51692,0.57057,0.25282,1.9199,1.66588,1.80596,0.00125923,0.00125923,0.00125923
8,191.867,1.15042,1.30847,1.28386,0.73695,0.48938,0.56122,0.24848,1.91632,1.71301,1.84716,0.00123094,0.00123094,0.00123094
9,217.283,1.12657,1.23339,1.26996,0.81657,0.52067,0.59339,0.30155,1.81428,1.59851,1.73793,0.00120265,0.00120265,0.00120265
10,242.583,1.11461,1.21262,1.25659,0.79899,0.51628,0.61129,0.29496,1.89561,1.72428,1.78823,0.00117435,0.00117435,0.00117435
11,269.063,1.08997,1.15927,1.23993,0.81617,0.56546,0.65103,0.31744,1.8066,1.39267,1.69828,0.00114606,0.00114606,0.00114606
12,294.521,1.07483,1.12709,1.22184,0.7416,0.52647,0.56021,0.28426,1.78087,1.80848,1.70455,0.00111776,0.00111776,0.00111776
13,317.814,1.0643,1.11323,1.22183,0.79005,0.53834,0.63156,0.33253,1.6809,1.36053,1.61943,0.00108947,0.00108947,0.00108947
14,341.517,1.06071,1.10012,1.22059,0.7667,0.5553,0.61842,0.3197,1.72702,1.46986,1.71306,0.00106118,0.00106118,0.00106118
15,365.79,1.03337,1.05559,1.20059,0.81673,0.55821,0.64208,0.34839,1.6295,1.3045,1.59283,0.00103288,0.00103288,0.00103288
16,390.059,1.02986,1.03605,1.19933,0.8106,0.5255,0.58943,0.27099,1.91023,1.41285,1.84198,0.00100459,0.00100459,0.00100459
17,414.252,1.02408,1.02533,1.19432,0.77703,0.59272,0.67483,0.32468,1.76874,1.26154,1.69665,0.000976293,0.000976293,0.000976293
18,437.997,1.01498,1.00151,1.18962,0.80432,0.58865,0.66489,0.34622,1.70495,1.42396,1.61879,0.000947999,0.000947999,0.000947999
19,461.028,1.0132,0.99255,1.17835,0.85104,0.61257,0.67724,0.3647,1.63162,1.24707,1.61666,0.000919704,0.000919704,0.000919704
20,484.468,1.00003,0.968,1.18199,0.86325,0.61253,0.70016,0.38801,1.57132,1.16163,1.52331,0.00089141,0.00089141,0.00089141
21,508.386,0.98493,0.94261,1.1678,0.86434,0.61246,0.72018,0.37008,1.68381,1.1738,1.59288,0.000863116,0.000863116,0.000863116
22,532.562,0.96654,0.92917,1.15539,0.82041,0.60492,0.70256,0.36145,1.78303,1.23513,1.6916,0.000834822,0.000834822,0.000834822
23,556.071,0.96985,0.92234,1.16296,0.8445,0.62683,0.70045,0.3968,1.59282,1.17378,1.54341,0.000806528,0.000806528,0.000806528
24,579.278,0.94415,0.90281,1.1452,0.85613,0.61151,0.69266,0.34906,1.75828,1.22606,1.61997,0.000778233,0.000778233,0.000778233
25,601.99,0.95605,0.89198,1.14577,0.85953,0.6121,0.7063,0.36725,1.69208,1.17557,1.61972,0.000749939,0.000749939,0.000749939
26,625.69,0.93453,0.87697,1.13693,0.85174,0.60169,0.69612,0.38052,1.64295,1.19087,1.57478,0.000721645,0.000721645,0.000721645
27,649.319,0.92421,0.85723,1.12955,0.82197,0.67437,0.76838,0.44069,1.4571,0.96059,1.4533,0.000693351,0.000693351,0.000693351
28,673.493,0.92434,0.84963,1.13003,0.89055,0.67028,0.77859,0.42969,1.53776,0.97111,1.46884,0.000665057,0.000665057,0.000665057
29,698.397,0.90952,0.83695,1.12121,0.87406,0.64092,0.73636,0.41396,1.52678,1.0544,1.49727,0.000636762,0.000636762,0.000636762
30,723.117,0.89924,0.82088,1.11405,0.85867,0.68328,0.75307,0.42347,1.54394,0.99161,1.49339,0.000608468,0.000608468,0.000608468
31,747.402,0.89821,0.80643,1.11643,0.87684,0.6819,0.76338,0.42972,1.51047,0.9971,1.51363,0.000580174,0.000580174,0.000580174
32,771.314,0.87564,0.78707,1.10354,0.92457,0.62967,0.75091,0.43683,1.43538,1.01775,1.44204,0.00055188,0.00055188,0.00055188
33,795.591,0.87903,0.77915,1.10187,0.89162,0.66865,0.76469,0.44904,1.43877,0.97438,1.43407,0.000523586,0.000523586,0.000523586
34,819.7,0.88128,0.77986,1.09707,0.86377,0.70394,0.77965,0.44403,1.51929,0.96888,1.47458,0.000495291,0.000495291,0.000495291
35,844.136,0.86116,0.76494,1.0907,0.87752,0.64173,0.74919,0.44811,1.44104,1.01036,1.4471,0.000466997,0.000466997,0.000466997
36,868.519,0.84569,0.75284,1.09139,0.87029,0.68409,0.78215,0.44131,1.5145,0.93157,1.48258,0.000438703,0.000438703,0.000438703
37,892.913,0.8395,0.74096,1.08673,0.88261,0.6355,0.74521,0.42937,1.52987,0.99248,1.51555,0.000410409,0.000410409,0.000410409
38,917.391,0.83498,0.7389,1.07752,0.88845,0.68497,0.77072,0.47623,1.38451,0.86746,1.41676,0.000382115,0.000382115,0.000382115
39,941.913,0.82181,0.72106,1.07234,0.90469,0.69361,0.79918,0.42862,1.55656,0.90446,1.54193,0.00035382,0.00035382,0.00035382
40,966.338,0.819,0.70927,1.0701,0.90878,0.65137,0.77177,0.44909,1.49329,0.90804,1.47217,0.000325526,0.000325526,0.000325526
41,1014.04,0.84062,0.64626,1.0808,0.89223,0.68623,0.7817,0.47286,1.43439,0.83597,1.43471,0.000297232,0.000297232,0.000297232
42,1037.52,0.81428,0.62233,1.06532,0.88385,0.69659,0.78925,0.46938,1.43024,0.84272,1.42239,0.000268938,0.000268938,0.000268938
43,1061.05,0.80756,0.60374,1.06348,0.87177,0.70085,0.78231,0.46833,1.40979,0.88659,1.40665,0.000240644,0.000240644,0.000240644
44,1084.65,0.79656,0.59576,1.05131,0.92128,0.65961,0.78178,0.47761,1.36652,0.85301,1.39925,0.000212349,0.000212349,0.000212349
45,1108.25,0.78321,0.58416,1.03871,0.86238,0.70846,0.79001,0.46847,1.42901,0.8575,1.4488,0.000184055,0.000184055,0.000184055
46,1130.77,0.7811,0.57608,1.03803,0.90076,0.69554,0.80213,0.48395,1.39117,0.85174,1.40495,0.000155761,0.000155761,0.000155761
