epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,37.8218,1.34031,1.9618,1.43027,0.58029,0.40945,0.41737,0.2045,1.71358,2.347,1.78143,0.000366394,0.000366394,0.000366394
2,73.2821,1.28167,1.49843,1.39012,0.50051,0.37255,0.39203,0.19626,1.8153,2.88445,2.04143,0.000729433,0.000729433,0.000729433
3,110.736,1.31053,1.52288,1.40626,0.38995,0.40096,0.30523,0.15059,2.02488,3.5159,2.28246,0.00108514,0.00108514,0.00108514
4,148.913,1.3245,1.52217,1.41863,0.74307,0.4208,0.49182,0.234,1.83064,2.02681,2.07757,0.001078,0.001078,0.001078
5,186.464,1.25694,1.42729,1.38607,0.58265,0.49949,0.50513,0.24398,1.75011,1.78233,1.85233,0.001067,0.001067,0.001067
6,222.785,1.24579,1.37989,1.36403,0.62371,0.52444,0.52456,0.25285,1.81128,1.7661,2.00352,0.00105601,0.00105601,0.00105601
7,258.885,1.20537,1.29072,1.34297,0.67661,0.51919,0.55035,0.27129,1.85803,1.59083,1.96336,0.00104501,0.00104501,0.00104501
8,296.324,1.18496,1.24005,1.329,0.76389,0.51575,0.59069,0.28548,1.6951,1.32217,1.87059,0.00103401,0.00103401,0.00103401
9,333.452,1.16657,1.2025,1.31924,0.65687,0.56819,0.60486,0.31917,1.56032,1.53316,1.85526,0.00102301,0.00102301,0.00102301
10,369.907,1.14377,1.14533,1.29032,0.75272,0.54148,0.62164,0.3173,1.69054,1.3037,1.84416,0.00101201,0.00101201,0.00101201
11,406.941,1.12531,1.1169,1.28818,0.71538,0.55903,0.61644,0.29562,1.74126,1.35654,1.89109,0.00100101,0.00100101,0.00100101
12,441.887,1.10842,1.08452,1.27039,0.7636,0.59901,0.64856,0.36727,1.42706,1.21536,1.56924,0.000990012,0.000990012,0.000990012
13,478.257,1.07197,1.04379,1.25475,0.74121,0.63471,0.6802,0.3453,1.64032,1.13372,1.7354,0.000979013,0.000979013,0.000979013
14,515.137,1.07099,1.02143,1.24705,0.7705,0.60404,0.66795,0.35064,1.65522,1.19182,1.77737,0.000968014,0.000968014,0.000968014
15,553.663,1.05884,0.99211,1.23604,0.72823,0.63713,0.68094,0.36231,1.54275,1.16433,1.68356,0.000957015,0.000957015,0.000957015
16,590.508,1.04271,0.97474,1.23177,0.7576,0.61307,0.68768,0.35714,1.65788,1.12,1.81669,0.000946016,0.000946016,0.000946016
17,628.423,1.0363,1.12521,1.20952,0.75346,0.61224,0.67523,0.37029,1.51984,1.09136,1.64584,0.000935018,0.000935018,0.000935018
18,665.78,1.03404,0.93569,1.21223,0.82179,0.63555,0.71749,0.39481,1.44024,1.03093,1.63528,0.000924019,0.000924019,0.000924019
19,702.779,1.02109,0.91446,1.20113,0.81979,0.62886,0.69985,0.40453,1.45918,1.04163,1.6093,0.00091302,0.00091302,0.00091302
20,742.664,1.00317,0.89201,1.19553,0.86895,0.59911,0.69338,0.39749,1.52823,1.14752,1.71101,0.000902021,0.000902021,0.000902021
21,779.877,0.99322,0.87748,1.18894,0.81657,0.63018,0.70617,0.39333,1.47681,1.11557,1.61471,0.000891022,0.000891022,0.000891022
22,817.236,0.96031,0.84815,1.17637,0.81104,0.61353,0.7015,0.40961,1.45095,1.03603,1.62648,0.000880023,0.000880023,0.000880023
23,855.677,0.9705,0.87745,1.17709,0.85137,0.6319,0.71695,0.4151,1.50228,1.04993,1.69064,0.000869024,0.000869024,0.000869024
24,892.859,0.95236,0.83187,1.1645,0.83518,0.67495,0.74067,0.43118,1.41636,0.94303,1.60249,0.000858025,0.000858025,0.000858025
